name,id,n,rank,description
Popular Question,26,3697130,bronze,"Question with 1,000 views"
Editor,3,1927750,bronze,First edit
Student,2,1924763,bronze,First question with score of 1 or more
Notable Question,27,1846217,silver,"Question with 2,500 views"
Informed,2600,1710652,bronze,"Read the entire <a href=""https://stackoverflow.com/tour"">tour</a> page"
Scholar,10,1588028,bronze,Ask a question and accept an answer
Yearling,13,1317478,silver,"Active member for a year, earning at least 200 reputation"
Teacher,1,1259569,bronze,Answer a question with score of 1 or more
Supporter,6,1161764,bronze,First up vote
Nice Answer,23,1014178,bronze,Answer score of 10 or more
Tumbleweed,63,991858,bronze,"Asked a question with zero score, no answers, no comments, and low views for a week"
Commentator,31,795327,bronze,Leave 10 comments
Autobiographer,9,793917,bronze,Complete &quot;About Me&quot; section of user profile
Custodian,2278,653666,bronze,"Complete at least one <a href=""https://stackoverflow.com/review"">review</a> task. This badge is awarded once per review type"
Caucus,1973,573729,bronze,"Visit an <a href=""https://stackoverflow.com/election"">election</a> during any phase of an active election and have enough reputation to cast a vote"
Famous Question,28,526739,gold,"Question with 10,000 views"
Nice Question,20,487633,bronze,Question score of 10 or more
Necromancer,17,446988,silver,Answer a question more than 60 days later with score of 5 or more
Good Answer,24,336067,silver,Answer score of 25 or more
Critic,7,336028,bronze,First down vote
Enlightened,19,324737,silver,First to answer and accepted with score of 10 or more
Revival,837,322032,bronze,Answer more than 30 days after a question was asked as first answer scoring 2 or more
Curious,4127,281933,bronze,"Ask a well-received question on 5 separate days, and maintain a positive question record"
Constituent,1974,186499,silver,"Vote for a candidate in the final phase of an <a href=""https://stackoverflow.com/election"">election</a>"
Peer Pressure,38,184789,bronze,Delete own post with score of -3 or lower
Enthusiast,71,183548,silver,"Visit the site each day for 30 consecutive days. (Days are counted in <a href=""http://en.wikipedia.org/wiki/Coordinated_Universal_Time"" rel=""nofollow noreferrer"">UTC</a>.)"
Citizen Patrol,8,176599,bronze,First flagged post
Good Question,21,157181,silver,Question score of 25 or more
Announcer,260,128960,bronze,Share a link to a question later visited by 25 unique IP addresses
Self-Learner,14,121305,bronze,Answer your own question with score of 3 or more
Excavator,1287,115391,bronze,Edit first post that was inactive for 6 months
Organizer,5,110543,bronze,First retag
Guru,18,106595,silver,Accepted answer and score of 40 or more
Civic Duty,32,79772,silver,Vote 300 or more times
Census,6644,71179,silver,Completed the annual Stack Overflow survey; your responses are anonymous
Promoter,220,68739,bronze,First bounty you offer on your own question
Great Answer,25,57827,gold,Answer score of 100 or more
Explainer,4368,55682,bronze,"Edit and answer 1 question (both actions within 12 hours, answer score &gt; 0)"
Tenacious,225,47977,silver,Zero score accepted answers: more than 5 and 20% of total
Analytical,1306,43749,bronze,Visited every section of the FAQ (retired)
Suffrage,804,43529,bronze,Use 30 votes in a day
Documentation User,7358,43297,silver,"Earned at least one badge for contributing to <a href=""https://stackoverflow.com/documentation"">Stack Overflow Documentation</a>"
Favorite Question,33,41797,silver,Question favorited by 25 users
Cleanup,4,40552,bronze,First rollback
Benefactor,221,38726,bronze,First bounty you manually award on your own question
Reviewer,1478,33210,silver,"Complete at least 250 <a href=""https://stackoverflow.com/review"">review</a> tasks. This badge is awarded once per review type"
Mortarboard,144,29055,bronze,"Earn at least 200 reputation (the <a href=""https://stackoverflow.com/help/whats-reputation"">daily maximum</a>) in a single day"
Vox Populi,1108,28273,bronze,Use the maximum 40 votes in a day
Inquisitive,4128,28182,silver,"Ask a well-received question on 30 separate days, and maintain a positive question record"
Fanatic,83,27854,gold,"Visit the site each day for 100 consecutive days. (Days are counted in <a href=""http://en.wikipedia.org/wiki/Coordinated_Universal_Time"" rel=""nofollow noreferrer"">UTC</a>.)"
Great Question,22,26191,gold,Question score of 100 or more
Quorum,900,25130,bronze,"One post with score of 2 on <a href=""https://meta.stackoverflow.com"">meta</a>"
Tag Editor,254,21874,bronze,First tag wiki edit
Unsung Hero,226,18749,gold,Zero score accepted answers: more than 10 and 25% of total
Electorate,155,16928,gold,Vote on 600 questions and 25% or more of total votes are on questions
Populist,62,16625,gold,Highest scoring answer that outscored an accepted answer with score of more than 10 by more than 2x
Proofreader,1276,16402,bronze,Approve or reject 100 suggested edits
Investor,219,16282,bronze,First bounty you offer on another person&#39;s question
Strunk &amp; White,12,14629,silver,Edit 80 posts
Steward,2279,11815,gold,"Complete at least 1,000 <a href=""https://stackoverflow.com/review"">review</a> tasks. This badge is awarded once per review type"
Taxonomist,11,11705,silver,Create a tag used by 50 questions
Disciplined,37,10805,bronze,Delete own post with score of 3 or higher
Deputy,1002,10585,silver,Raise 80 helpful flags
Talkative,884,9573,bronze,"Post 10 messages, with 1 or more starred, in <a href=""https://chat.stackoverflow.com"">chat</a>"
Pundit,94,9151,silver,Leave 10 comments with score of 5 or more
Altruist,222,8116,bronze,First bounty you manually award on another person&#39;s question
Stellar Question,36,5999,gold,Question favorited by 100 users
Socratic,4129,3345,gold,"Ask a well-received question on 100 separate days, and maintain a positive question record"
Booster,261,3188,silver,Share a link to a question later visited by 300 unique IP addresses
Copy Editor,223,2789,gold,Edit 500 posts (excluding own or deleted posts and tag edits)
Sportsmanship,805,2565,silver,Up vote 100 answers on questions where an answer of yours has a positive score
Beta,30,2510,silver,"Voted 10 times, added 3 posts score &gt; 0, and visited the site on 3 separate days during the private beta"
Marshal,1298,2487,gold,Raise 500 helpful flags
Documentation Pioneer,6158,2359,silver,Contributed 3+ substantive pieces of documentation in the first month of documentation
Convention,901,2037,silver,"10 posts with score of 2 on <a href=""https://meta.stackoverflow.com"">meta</a>"
Archaeologist,1286,1875,silver,Edit 100 posts that were inactive for 6 months
Refiner,4369,1767,silver,"Edit and answer 50 questions (both actions within 12 hours, answer score &gt; 0)"
Outspoken,998,1154,silver,"Post 10 messages in <a href=""https://chat.stackoverflow.com"">chat</a> starred by 10 different users"
Generalist,15,1018,silver,Provide non-wiki answers of 15 total score in 20 of top 40 tags
Publicist,262,935,gold,Share a link to a question later visited by 1000 unique IP addresses
Synonymizer,1224,896,bronze,"First approved <a href=""https://stackoverflow.com/tags/synonyms"">tag synonym</a>"
Epic,145,657,silver,Earn 200 daily reputation 50 times
Not a Robot,6381,642,silver,"
Met a Stack Overflow employee at an event where Stack Overflow was an organizer"
Documentation Beta,6157,294,silver,Contributed 3+ substantive pieces of documentation during the private beta
Reversal,95,290,gold,Provide an answer of +20 score to a question of -5 score
Research Assistant,1656,280,silver,Edit 50 tag wikis
Legendary,146,249,gold,Earn 200 daily reputation 150 times
