name,id,n,rank,description
Teacher,1,1259569,bronze,Answer a question with score of 1 or more
Student,2,1924763,bronze,First question with score of 1 or more
Editor,3,1927750,bronze,First edit
Cleanup,4,40552,bronze,First rollback
Organizer,5,110543,bronze,First retag
Supporter,6,1161764,bronze,First up vote
Critic,7,336028,bronze,First down vote
Citizen Patrol,8,176599,bronze,First flagged post
Autobiographer,9,793917,bronze,Complete &quot;About Me&quot; section of user profile
Scholar,10,1588028,bronze,Ask a question and accept an answer
Taxonomist,11,11705,silver,Create a tag used by 50 questions
Strunk &amp; White,12,14629,silver,Edit 80 posts
Yearling,13,1317478,silver,"Active member for a year, earning at least 200 reputation"
Self-Learner,14,121305,bronze,Answer your own question with score of 3 or more
Generalist,15,1018,silver,Provide non-wiki answers of 15 total score in 20 of top 40 tags
Necromancer,17,446988,silver,Answer a question more than 60 days later with score of 5 or more
Guru,18,106595,silver,Accepted answer and score of 40 or more
Enlightened,19,324737,silver,First to answer and accepted with score of 10 or more
Nice Question,20,487633,bronze,Question score of 10 or more
Good Question,21,157181,silver,Question score of 25 or more
Great Question,22,26191,gold,Question score of 100 or more
Nice Answer,23,1014178,bronze,Answer score of 10 or more
Good Answer,24,336067,silver,Answer score of 25 or more
Great Answer,25,57827,gold,Answer score of 100 or more
Popular Question,26,3697130,bronze,"Question with 1,000 views"
Notable Question,27,1846217,silver,"Question with 2,500 views"
Famous Question,28,526739,gold,"Question with 10,000 views"
Beta,30,2510,silver,"Voted 10 times, added 3 posts score &gt; 0, and visited the site on 3 separate days during the private beta"
Commentator,31,795327,bronze,Leave 10 comments
Civic Duty,32,79772,silver,Vote 300 or more times
Favorite Question,33,41797,silver,Question favorited by 25 users
Stellar Question,36,5999,gold,Question favorited by 100 users
Disciplined,37,10805,bronze,Delete own post with score of 3 or higher
Peer Pressure,38,184789,bronze,Delete own post with score of -3 or lower
Populist,62,16625,gold,Highest scoring answer that outscored an accepted answer with score of more than 10 by more than 2x
Tumbleweed,63,991858,bronze,"Asked a question with zero score, no answers, no comments, and low views for a week"
Enthusiast,71,183548,silver,"Visit the site each day for 30 consecutive days. (Days are counted in <a href=""http://en.wikipedia.org/wiki/Coordinated_Universal_Time"" rel=""nofollow noreferrer"">UTC</a>.)"
Fanatic,83,27854,gold,"Visit the site each day for 100 consecutive days. (Days are counted in <a href=""http://en.wikipedia.org/wiki/Coordinated_Universal_Time"" rel=""nofollow noreferrer"">UTC</a>.)"
Pundit,94,9151,silver,Leave 10 comments with score of 5 or more
Reversal,95,290,gold,Provide an answer of +20 score to a question of -5 score
Mortarboard,144,29055,bronze,"Earn at least 200 reputation (the <a href=""https://stackoverflow.com/help/whats-reputation"">daily maximum</a>) in a single day"
Epic,145,657,silver,Earn 200 daily reputation 50 times
Legendary,146,249,gold,Earn 200 daily reputation 150 times
Electorate,155,16928,gold,Vote on 600 questions and 25% or more of total votes are on questions
Investor,219,16282,bronze,First bounty you offer on another person&#39;s question
Promoter,220,68739,bronze,First bounty you offer on your own question
Benefactor,221,38726,bronze,First bounty you manually award on your own question
Altruist,222,8116,bronze,First bounty you manually award on another person&#39;s question
Copy Editor,223,2789,gold,Edit 500 posts (excluding own or deleted posts and tag edits)
Tenacious,225,47977,silver,Zero score accepted answers: more than 5 and 20% of total
Unsung Hero,226,18749,gold,Zero score accepted answers: more than 10 and 25% of total
Tag Editor,254,21874,bronze,First tag wiki edit
Announcer,260,128960,bronze,Share a link to a question later visited by 25 unique IP addresses
Booster,261,3188,silver,Share a link to a question later visited by 300 unique IP addresses
Publicist,262,935,gold,Share a link to a question later visited by 1000 unique IP addresses
Suffrage,804,43529,bronze,Use 30 votes in a day
Sportsmanship,805,2565,silver,Up vote 100 answers on questions where an answer of yours has a positive score
Revival,837,322032,bronze,Answer more than 30 days after a question was asked as first answer scoring 2 or more
Talkative,884,9573,bronze,"Post 10 messages, with 1 or more starred, in <a href=""https://chat.stackoverflow.com"">chat</a>"
Precognitive,892,0,bronze,"Followed the <a href=""http://area51.stackexchange.com/"">Area 51</a> proposal for this site before it entered the commitment phase"
Quorum,900,25130,bronze,"One post with score of 2 on <a href=""https://meta.stackoverflow.com"">meta</a>"
Convention,901,2037,silver,"10 posts with score of 2 on <a href=""https://meta.stackoverflow.com"">meta</a>"
Outspoken,998,1154,silver,"Post 10 messages in <a href=""https://chat.stackoverflow.com"">chat</a> starred by 10 different users"
Deputy,1002,10585,silver,Raise 80 helpful flags
Vox Populi,1108,28273,bronze,Use the maximum 40 votes in a day
Synonymizer,1224,896,bronze,"First approved <a href=""https://stackoverflow.com/tags/synonyms"">tag synonym</a>"
Proofreader,1276,16402,bronze,Approve or reject 100 suggested edits
Archaeologist,1286,1875,silver,Edit 100 posts that were inactive for 6 months
Excavator,1287,115391,bronze,Edit first post that was inactive for 6 months
Marshal,1298,2487,gold,Raise 500 helpful flags
Analytical,1306,43749,bronze,Visited every section of the FAQ (retired)
Reviewer,1478,33210,silver,"Complete at least 250 <a href=""https://stackoverflow.com/review"">review</a> tasks. This badge is awarded once per review type"
Research Assistant,1656,280,silver,Edit 50 tag wikis
